payment_id,amount,currency,payment_method,status,failure_category,error_code,error_description,timestamp,hour,day_of_week,customer_previous_success,customer_previous_failures,retry_count,transaction_frequency,average_customer_transaction,recoverable
pay_10000,1323.17,INR,Wallet,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-31 23:02:57,23,Monday,18,2,1,21,1301.6,1
pay_10001,1165.07,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-29 10:28:09,10,Saturday,1,3,0,5,1369.45,0
pay_10002,151.95,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-19 07:16:39,7,Wednesday,11,0,0,12,139.26,0
pay_10003,2515.93,INR,UPI,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-12 06:24:18,6,Wednesday,14,2,1,17,2397.64,0
pay_10004,10370.54,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-01 19:03:55,19,Tuesday,8,1,0,10,12232.61,0
pay_10005,8576.58,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-21 15:38:56,15,Friday,19,3,0,23,8371.27,0
pay_10006,475.38,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-15 01:39:49,1,Saturday,16,3,0,20,414.96,0
pay_10007,3669.93,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-20 11:19:22,11,Thursday,17,1,0,19,3596.17,0
pay_10008,1406.94,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 00:37:25,0,Sunday,7,4,0,12,1344.29,0
pay_10009,941.4,INR,Debit Card,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-19 23:59:12,23,Wednesday,8,4,0,13,1055.2,1
pay_10010,343.69,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-22 02:23:51,2,Saturday,10,2,0,13,372.13,0
pay_10011,3414.16,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-30 12:27:12,12,Sunday,8,3,0,12,3910.04,0
pay_10012,2590.75,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-08 18:05:26,18,Saturday,4,2,0,7,2685.36,0
pay_10013,953.0,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-10 08:58:01,8,Monday,13,2,0,16,1052.41,0
pay_10014,2209.72,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-24 07:12:17,7,Monday,14,1,0,16,1790.24,0
pay_10015,435.42,INR,UPI,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-14 19:23:38,19,Friday,14,2,0,17,383.7,0
pay_10016,7305.35,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-27 00:11:21,0,Thursday,1,1,0,3,8205.72,0
pay_10017,2658.74,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-07 00:08:02,0,Friday,10,1,0,12,2256.83,0
